,Review,Rating
30,"A spirited romantic comedy, Ghost Town is the story of Bertram Pincus (Ricky Gervais), a cranky Manhattan dentist who develops the unwelcome ability to see dead people. Really annoying dead people. But, when a smooth-talking ghost (Greg Kinnear) traps Bertram into a romantic scheme involving his widow Gwen (Tea Leoni), they are entangled in a hilarious predicament between the now and the hereafter!",6.5
31,"In 2009, six friends arrive at an isolated cabin to enjoy a long weekend in the snow. An epic snowstorm interrupts their vacation, trapping them on the mountain and resurrecting the haunting ghosts of the Donner Party. But, are they true 'entities' or is it simply 'cabin fever' that brings out their fears and darkness, causing friends to turn against each other as reality deteriorates around them.",3.6
32,"Anna returns home after spending time in a psychiatric facility following her mother's tragic death and discovers that her mother's former nurse, Rachel, has moved into their house and become engaged to her father. Soon after she learns this shocking news, Anna is visited by her mother's ghost, who warns her that Rachel has evil intentions.",6.5
33,"Local teens have long commemorated the death of 'Mary Hatchet' -- a girl who took an ax and killed her family in the 1970s -- with the aptly named Blood Night. But things never got truly bloody until Mary's ghost (Samantha Facchi) decided to make an appearance. Dead bodies are piling up, and Mary seems to be calling the shots. But there are secrets about her past that have yet to be uncovered. Nate Dushku co-stars in this slasher flick.",5.0
34,"While trying to get their lives back on track after the loss of their four year old son, Bryn and Paul Shaw move to the charming old Beacon Apartments. Bryn begins seeing a ghostly little boy skulking around the building. With the help of an eccentric young professor and a tough old beat cop, Bryn tries to uncover the details of the boy's death.",5.1
35,"Bavaria, Germany, 1950s. The sudden return of the young Kathrin to the small village where she was born stirs up the feelings of guilt and personal ghosts of its inhabitants, haunted by dark memories related to a multiple murder that happened two years earlier at the Tannöd farm, a hideous crime that remains unsolved.",4.9
36,"Nine-year-old Lisa discovers her sinister new friend is the ghost of the dead twin of Lisa's mother. Then Lisa's father also begins to suspect his wife of hiding a terrible secret, resulting in deadly consequences…",5.6
37,"In an empty city, scorched by the sun, the young and old confuse the fever of sunstroke with the delicate birth of passion. Like ghosts, they hover around buildings and endless flatlands in search of the ever elusive love. Inspired by 19th century Russian short stories, the plots weave and unravel together in the improbable city of Brasilia – a distorted mirror-image of the Soviet utopia – located in the heart of the Brazilian desert.",5.0
38,"A haunting ghost story spanning two worlds, two centuries apart. When 13 year old Tolly finds he can mysteriously travel between the two, he begins an adventure that unlocks family secrets laid buried for generations.",6.3
39,"Sam loves facts. He wants to know about UFOs and horror movies and airships and ghosts and scientists, and how it feels to kiss a girl. And because he has leukemia he wants to know the facts about dying. Sam needs answers to the questions nobody will answer.",7.4
40,"In a last era, in an imaginary world dominated by shadows, three get conquer evil wizards and place in three boxes of Pandora. Every magician must save their life and protect each of the boxes containing: war, plague and famine. If the ghosts manage to break free, will open the gates of hell.",4.0
41,"Mickey O'Hara is a committed IRA member but his days of freedom fighting are long gone, leaving him peddling drugs and disenchanted with ""the cause."" When a deal goes wrong, things take a dramatic turn for Mickey, who is forced to kill his partner. Marked for death, Mickey flees to LA, determined to make a fresh start and leave his violent past behind. When a close friend runs afoul of some powerful drug dealers, Mickey temporarily resorts to his old ways to help him get out of trouble. However, instead of making things better, Mickey unwittingly sets off a chain of events that reawakens the ghosts of his past and threatens to destroy everything he holds dear. Written by Trinity Filmed Entertainment",5.0
42,"In post-Katrina New Orleans, a disgraced detective encounters the ghost of a murdered woman who wants to help him identify her killer.",5.2
43,"Kyle, a shy college student finds himself and three of his friends trapped in an old western ghost town by a pack of ferocious wolves and has to overcome his personal fears to confront the wolves and lead his friends to safety.",3.8
44,"Zeus (voiced by Joey Lawrence) and the Bannister family have moved into a new home just in time for Halloween! When Zeus and George (Gary Valentine of ""The King of Queens"") decide to investigate a creepy neighbor (Lance Henriksen of Aliens), they discover a scary dog (voiced by Mayim Bialik of ""Blossom"" and ""The Big Bang Theory""), a haunted house and form a surprising partnership with a familiar pair of bumbling burglars (Dean Cain and Joey ""Coco"" Diaz). Can Zeus bust some ghosts, find a missing cat and face his biggest fear, all in time to go trick or treating? Elisa Donovan (""Sabrina the Teenage Witch"") and Curtis Armstrong (Revenge of the Nerds) star in this all-new thrills &amp; chills adventure from the creators of The Dog Who Saved Christmas and The Dog Who Saved Christmas Vacation.",4.8
45,"A love triangle between the primitively superstitious Rahma, her rude husband Robert, and the ghost of Rahma's beautiful sister Marie who died from the pain of banishment.",6.0
46,"Young Humphrey is a ghost with a big problem. He and his family, the Craggyfords, have been ousted from their home and left without a place to haunt. As they search for new haunting grounds they soon discover that they are not alone. Ghosts from all over the world have been exorcised from their dwellings, with dark castles and ancient buildings being destroyed by the living, and turned into shopping centers. With time running out, Humphrey digs deep inside, and decides to help save his family and the rest of the haunting community by scaring his way to victory.",4.8
47,"A deaf girl attempts to contact her sister during a séance, only to connect with the ghost of a murdered woman.",5.3
48,"After his business goes bankrupt, 30 something Kyeong-Min kills his wife impulsively. Hiding his anger, he seeks out his former middle school classmate Jong-Seok. Jong-Seok now works as a ghostwriter for an autobiography, but he dreams of writing his own novel. For the first time in 15 years they meet. Kyeong-Min and Jong-Seok both hide their own current situations and begin to talk about their middle school days.",5.7
51,"Yumi moves into her boyfriend's Tokyo apartment but on the night of the move, he is called away for business in New York. The couple communicates over Skype and over the course of four nights, their relationship descends into an abyss of mistrust and lies. Yumi believes there's a ghost in the room haunting her as her only connection to the outside world is Taka on the other side of the world. Taka believes she's slowly going crazy right in front of his eyes. The story concludes with a shocking twist that will haunt both of them forever.",4.5
52,"Abandoned by her mother and abused by her father, a lonesome runaway finds solace in a foreclosed home only for her sorrow to conjure the presence of ""La Llorona"" the weeping woman in white; a ghostly creature always in search of her missing children...that she killed herself many years ago.",6.0
53,"Since his triumphant rise to power in the original blockbuster ""The Scorpion King"", Mathayus' kingdom has fallen and he's lost his queen to plague. Now an assassin for hire, he must defend a kingdom from an evil tyrant and his ghost warriors for the chance to regain the power and glory he once knew. Starring Ron Perlman (""Hellboy"") and Billy Zane (""Titanic""), and featuring 6-time WWE champion Dave Bautista and UFC star Kimbo Slice, ""The Scorpion King 3: Battle for Redemption"" takes ""The Mummy"" phenomenon to an all-new level of epic action and non-stop adventure.",4.5
54,"1334, a ghost story that reveals the haunting disturbances that began to plague the ones left behind following the completion of PIG (1998) and the death of Rozz Williams, where reality turns into darkness, with the effect upon no return, based on true occurrences.",4.8
55,"The third autobiography in the series deals with modern architecture. For the grand finale, he covers a broad historical spectrum: Parabeton tells of the great Roman concrete buildings from the start of the Common Era and compares them with Pier Luigi Nervi’s work, the Italian master of concrete construction. As concrete can be made into many different shapes, the buildings and the domes, slopes and spiral staircases they contain have an innovative, seminal quality. Those familiar with Emigholz's work will note that the skewed camera angles used in the past are replaced by straight-on views. Moreover, the ancient constructions seem more dynamic than those of the last century. Almost devoid of people, the images we know from his preceding films make the ruins from the 1930s to the 70s, the familiar cement constructions of daily life with their play of light and shadow or even the Pope’s Audience Hall appear more ghostly than the famous sights of the ancient world.",5.8
57,"Eleven-year-old Oliver has a unique ability to see ""full-bodied apparitions,"" otherwise known as ghosts. When his family moves from the bustling city to an older home in the suburbs, only Oliver is able to see the spirit of Clive Rutledge (Martin Mull), the previous owner. Clive causes every manner of destruction to force Oliver and his family to leave.  But perhaps Oliver's special talent, along with the help of a kind neighbor (Rhea Perlman), will show Clive how to release his earthly regrets so he can leave the house and the family in peace.",5.5
59,"Beginning at a stylish mansion in the roaring 1920's, a socialite, flappers, and the men who love them come to their ultimate demise. These ghosts continue to haunt the mansion throughout the decade. Now they've come back to haunt and chase after a new generation of beautiful girls. The Dead Want Women!",3.3
60,"Elisa, a thirty-eight-year old woman, leaves for a week with her husband and young daughter on a vacation to a house in the country. Everything is going for her: she has a successful professional career, loves her family, has enough money for a comfortable life, and has plans for the future. After arriving to the country, a strange feeling takes hold of her. She starts feeling the presence of something that moves the treetops at night, makes the dogs howl, and wanders like the breath of a ghost across the infinite countryside. A stinging feeling that kills all her certainties. In the middle of the night Elisa wakes up. The moonlight shines on her face.",5.7
61,"A story of two opposites (Mark Lee and Maggie Shiu) who try to help three ghosts to fulfill their last wishes. During this journey, numerous events will bring both humans and ghosts closer, where friendships are formed and romance blossoms.",5.0
62,"Thirty years after exile, Francesc Lamban journalist returns to the city where he was born to reunite with an old friend, attorney Ernest Salesa. The event takes place on the beach that saw the end of their relationship, and this fact is not accidental: Salesa has a business at hand transcendental and mysterious and has to convince Lamban to be part of it, at whatever price . While that behave remove ghosts from the past and the terrible memory of a love lost tragically common.",7.0
64,"The film will focus before the birth of the twins. It was a set-up arranged marriage for their father Don Luisito Go Dong Hae played by Ariel Ureta to a lady with Korean Sang Kang Kang played by Alodia Gosiengfiao. Go Dong Hae refuses to marry and chose Kimmy and Dora's mother as his wife. In the present, an unexpected ghost is surfacing the family's lives and they found out that Sang Kang Kang that is supposed to be married by their father was already dead and they need to quest for the tranquility of their lives by travelling all the way to South Korea.[4] As Kimmy and Dora accepts the proposals of their boyfriends played by Zanjoe Marudo and Dingdong Dantes, strange things began to happen leading their boyfriends and their father in a comatose condition. Sang Kang Kang is back for revenge, and Kimmy and Dora are trying every possible solution to fight against the revenge ghost.",5.0
65,"The Spirit Stalkers reality show, once a big hit, faces cancellation without a ratings boost, which leads the investigative team to Gloria Talman, whose house is rampant with unexplained ghostly activity.",3.2
66,"After an accident, Mun-Gi wakes up to find that he’s forgotten who he is. Searching for clues about his life, he meets Yeon-Hwa, who introduces herself as a ghost.",7.1
67,"When a tour guide breaks into America's Most Haunted House, a bit of amateur ghost hunting with friends turns into more horror than they could have ever imagined.",4.7
68,"Three journalists specializing in the supernatural will follow in the footsteps of a ghost, immortalized by young people who have just visited an abandoned school to try and scare themselves.",6.0
69,A Civil War ghost story with a modern twist.,1.0
70,"Raghava is a fun-loving youngster who enjoys playing cricket with his friends. But at night he is afraid of ghosts and is always confined to his home under the care of his mother (Umashri). His brother (Achyuth Rao), sister-in-law (Shruthi) and their children live together in the same house. When Raghava and his friends go in search of another ground to play cricket, they find an abandoned field, which, it turns out, is haunted. At home, his mother and sister-in-law witness some strange happenings. With the help of a temple priest, they confirm the presence of a ghostly spirit haunting their home. Raghava begins to act funny and shows effeminate behaviour which is when the presence of the ghost is identified. The film goes on to unravel the mystery of the ghostly Kalpana and her relationship with Raghava.",2.0
71,"Seventeen years ago, Mike kills a new mother of twin girls and took the babies to a house in the woods, claiming them as his own to appease his wife's desire for kids. 10 years later Stacy flees to her uncle's old secluded cabin in those same woods to escape her abusive boyfriend. There she is haunted by the ghosts of the little girls crying for their mother.",5.5
72,"On Halloween night, a sorority house is overrun with ghosts, while a vengeful housemother goes on a killing spree.",5.6
73,"Five high school friends skip class in hopes of finding the perfect spot to party. They chose the wrong place. Against all warnings, they break into an abandoned mental hospital, notorious for reports of ghost sightings, satanic rituals and demon possessions. Now, armed only with a camera, they are trapped inside, haunted and hunted by something they cannot stop, reason with, or describe.",1.5
75,"Taew, Mod Dum, and Cartoon are expanding their business so they bought another dormitory. However, faith is not so kind as this dormitory is also haunted. The ghost is a troubled soul because she was murdered and she is hence looking for vengeance. They need to call Pancake back to help as it’s a race against time to find the ghost’s killer before their business goes bankrupt.",6.2
76,"Us to the fascinating, disturbing, ghostly figure of Paulo de Figueiredo, professional mercenary soldier, from the sixties, played the hired liquidator task in diverse corners of the world.",6.2
78,"Actor and writer Mark Gatiss embarks on a chilling journey through European horror cinema, from the silent nightmares of German Expressionism in the 1920s to the Belgian lesbian vampires in the 1970s, from the black-gloved killers of Italian bloody giallo cinema to the ghosts of the Spanish Civil War, and finally reveals how Europe's turbulent 20th century forged its ground-breaking horror tradition.",8.1
79,"After a premature birth. Carla, a new mother, will face his ghosts of the past and move into the old family farm, set in an austere environment.",1.0
80,"A cinematographer and soundman, Morgan and Cricket, head to a remote Idaho ranch to film the pilot episode of “Spirit Seekers,” a new reality TV show about ghost hunters. When the host dies during filming, the production shuts down. Unbeknownst to the cast and crew, the show’s director planned the host’s death to boost ratings. Dr. Randolf Fairfax (Doug Jones) fears the bloodshed has awoken supernatural spirits that are now hellbent on their own revenge! The crew must try to survive, dodging bullets, ghosts, and scheming television producers (played by Star Trek’s Robert Picardo and Michael Dorn) as they race to find out what is really going on at the end of the road.",2.0
81,"A troubled Catholic priest, Father James, finds his faith crushed when a young girl he promises to protect commits suicide. Months after her death, he is forced to return to his old parish and to the scene of her suicide, a derelict mansion house. Trapped in the house overnight James becomes convinced that he is being haunted by the ghosts of the girl and her dead Stepfather, risen from the grave to seek a blood retribution for the awful tragedy that he allowed to take place",4.6
82,"After selling his soul to a sorceress Robin is killed in battle. Distraught over these horrific turn of events Marian and Little John attempt to resuscitate Robin and his Merry Men. In doing so they inadvertently have turned the one-time heroes into the living dead and worse, the ghostly reincarnations are now hunting down Marian and Little John. So the pair attempt to seek out a new potion that will free these tormented souls from their demonic possession.",4.3
83,"On December 16th, 2011, eight people on their way to Las Vegas stopped in the ghost town of Garlock, California. This footage documents what happened.",5.3
85,"The story of driven, heartless, publishing executive, Carol Huffman, who on Christmas eve is visited by the ghost of her former boss, Eve. Eve tells Carol that she has lost sight of the things that are truly important in life and that she is there to show her the error of her ways. Eve explains that normally there would be three ghosts for the job but due to budget cut backs she is in charge of Carol's journey through her past, present and future.",5.7
87,"Sandip Ray's next where 4 ghost stories are spun together in a comical twist surrounding unusual events.The film is a collection of four short films based on four Bengali short stories- Sharadindu Bandyopadhyay's - Bhut Bhabishyat, Satyajit Ray's- Brown Saheber Bari, Anath Babur Bhoy and Lucknow-er Duel.",6.3
88,"The star of the hit series, The Haunting of Sunshine Girl, Sunshine embarks on a new adventure with her best pal, Nolan and a new sidekick Andrew. They head to Portland, Oregon in search of her favorite urban legend, Black Eyed Kids. Here they meet several witnesses who have seen BEK. This is a whole new adventure for the group and far from her normal ghostly adventures. Little does she know the BEK world is far more dangerous and evil than any of them could imagine. Will she make it out alive?",5.8
89,"Mary Gallagher was a prostitute in the 1800's who stole a customer from her friend. Her fellow trollop retaliated by decapitating Gallagher with a hatchet. Mary is said to return every seven years, walking the streets of Griffintown, searching for her lost appendage. The old Fiddlers' Green pub has new owners who have inherited the ghost of a young woman (a heartbroken maid who committed suicide) resulting in many sleepless nights. The state of Kentucky was ravaged by the dreaded Tuberculosis plague, claiming the lives of thousands of individuals who died in the sprawling Waverly Sanitarium. Now abandoned, the ghosts of these disease victims and those who tried to heal them, still walk the crumbling hallways. These encounters and more are investigated by a team of psychics who attempt to contact the spirit world while being rattled to the core by the events that unfold in this bone chilling collection of ghost encounters.",10.0
90,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",5.8
91,All Hallows Eve - the perfect night for a ghost hunt. At least that's what documentary film-maker Julia Marsh was told when she joined 'Paranormal Investigations Inc' for their Live Halloween special.,3.0
92,Two roommates deathly afraid of ghosts both fall in love with a girl who believes their home is haunted.,5.4
93,"Linking several genres in a surprising and successful way, Yang Lin’s fiction feature debut is an Asian ghost story in which documentary scenes show how incongruous today's reality can look in China. Protagonist Fang Lei lives in material wealth and only has to care for her daughter. One night, a young mysterious lover appears and makes passionate love to her.",4.8
95,"After losing her boyfriend, Moni decides to focus on her thesis, which consists on chocolate pastry-making. When she starts seeing other guys, the ghostly figure of her abusive boyfriend Javi appears, provoking funny situations since Moni is the only one who sees him.",7.2
96,When the ghost of the composer Richard Wagner visits the raving Friedrich Nietzsche within the walls of the Turin lunatic asylum the details of their dreadful conflict are revealed.,3.0
97,"Forty-nine days after George’s death his wife, Alicia, calls friends who wanted to read over the letter that he left before he died. It is a very affectionate and moving letter, which addresses each of those present, knowing that his death is near. Little do they know that they are part of a ritual prepared by Alicia, with the connivance of Santiago, the closest friend of George, to bring him back to life – and that ritual, full of ghostly apparitions, traumatic and terrifying, will be gaining further life from each of the guests. The surprising twists in the plot will lead up to the most unexpected of endings.",5.0
100,The crew of a popular ghost hunting show gets more than they bargained for when they come across a location that's actually haunted.,4.7
103,"Kana is an ordinary high school student. One day, her photo is selected for a magazine and, because of this, Kana receives attention from popular student attention Rio. The attention though is not the kind Kana wanted. Kana is bullied by Rio and her friends.  A rumor exists that a ghost exists in the old school building. The ghost is able to grant someone's wish, but that person will lose something important to them. The ghost is a former student named Yomi, who died in an accident 12 years ago. Kana decides to go see the ghost.  The next day, Kana is a member of Rio's group, but Kana's friend Erika is now bullied. More tragedy awaits …",3.0
104,In 2007 author Phillip Muirhouse was left alone in a haunted homestead called 'Monte Cristo'. He was there making a documentary that was to accompany his latest book. He also broke the rule of all ghost hunters.... Never Be Alone. The following is video documentation leading to he is arrest.,3.7
105,"With the ghost of Delphine, a sociétaire who committed suicide several months earlier, still hanging over the place, an unexplained series of backstage murders occurs at the Comédie-Française. Domont and his associate Strozzi investigate at this famous institution, where power plays and rivalries are the norm.",6.3
106,"What would have happened if the Shiroyasha never existed?  Edo is thrown to chaos by a mysterious cause. Sakata Gintoki, now lives in a world where the future has changed, without him. What has happened to the Yorozuya?  Gintoki, who is now a ghost of the past, must once again carry the burden in order to save his friends. He must finish the biggest job ever, which may be the final job of Yorozuya.",8.0
107,"In a post-apocalyptic future, a group of soldiers is sent to a ghost city to destroy an automated sentry.",5.7
108,"Three female idols appear on a television show to investigate an exorcism. An exorcist with psychic powers named Unsui claims that the show’s subjects, the Kaneda family, are cursed by a demon that’s too powerful for him to banish on his own, so he calls in a fellow exorcist to help. Soon, a reckless ghost hunter enters the fray as the three idols witness a series of terrifying events.",5.4
109,A coastal town is plagued by a supernatural man-eating shark. A ghost hunter joins forces with a sea captain to uncover the secrets of the area's dark past and find a way to exorcise the spectral predator.,5.2
110,A young man falls in love with a ghost you can only see when you don't Breathe.,8.0
111,"InSpectres takes place in a world where ghost, ghouls, and goblins are commonplace. The InSpectres are the only exterminators capable of eliminating these supernatural pests! After a brief run-in with a homeless zombie, Lucas joins the InSpectres as an Agent-in-Training. He, his mentor Tracey, and the rest of the InSpectres team embark on an eerily funny adventure aimed at recapturing entities freed from a government holding facility by a corporate saboteur.",6.0
112,"5 beautiful girls win a contest to star in a new reality show. Spend a night in a haunted house, and the first one to make contact with a ghost will win. But the house is really haunted by a killer who intends that none of them will win.",1.4
113,"1920s. Vitalino, a small farmer from São Vicente sees his father die of the epidemic which decimated the country. Some years later, of all the brothers, Vitalino is the strongest and takes his father’s place in the house. But the village is too small for his aspirations and he decides to head to Brazil, leaving his sisters in charge of the household. In parallel with Vitalino’s story, If I Were a Thief… I’d Steal portrays the world of Paulo Rocha rummaging through his films and ghosts over the years.",4.5
114,Scooby-Doo and the gang investigate the case of a Cornfield's ghost.,8.9
115,"Holed up in a small Normandy town, Louise hides from her ghosts as she looks after grumpy old Theo, the retired lighthouse keeper who shares her passion for ornithology. As she wanders the twisted shores, observing birds and people alike, Louise also keeps track of old Florelle, another broken soul who searches the beaches, seemingly waiting for the crashing waves to return something to her. Observing the locals' reactions to Lambert's return, the heir of a family lost at sea, Louise is intrigued by his past but, at the same time, attracted to him. As their relationship deepens, they start to unravel the web of secrets that have haunted the small village for decades. Together, they struggle to uncover the truth that could set them both free.",5.1
116,"When Brainy Smurf is favored to win the annual Smurfberry Hunt for the ninth year in a row, Gutsy Smurf sets out to discover how Brainy wins every year. Gutsy’s investigation takes him into spooky Smurfy Hollow–and right into Gargamel’s trap! Can Brainy and Gutsy, with the help of Smurfette, put aside their rivalry before Gargamel captures them–or worse, they come face-to-face with the legendary ghost, the Headless Horseman?",6.9
117,"A film containing four short horror stories. The first involves a dangerous ritual done to capture the image of ghost The second story is about a deadly ghost which returns to attack the person who killed him. The third story is about a girl who is ""trapped"" in this world. The last story is about a group who investigates the existence of spirits in a old house.",1.0
118,"During school break, there was a rule that students must leave their school dormitories to return home. However, a group of students who love to visit haunted places to challenge ghosts, gathers their gang for another trial. Their place of choice was the Daeng Building, which has a history of being one student's tragic suicide spot. After the suicide, the building was abandoned and became restricted to all students. Without thinking twice, the group decides to explore the place and challenge the supernatural beings there to ""make them shudder"", which leads to a chain of unforgettable and horrifying events.",5.7
120,"A group of sorority girls are having a slumber party at their house. One of the new sorority girls is Leslie Borden, a descendant of the infamous Lizzie Borden family. They believe that they are holding a harmless séance to conjure the ghost of Lizzie. But they get locked in the house with an evil, vengeful spirit as Lizzie Borden returns to wreak havoc with her axe. One by one, the girls are murdered as they try to figure out how to put an end to the return of Lizzie Borden.",2.0
