,Rating
194,2.1659393
195,8.247332
196,3.3277404
197,3.0011477
198,8.699372
199,8.139507
200,7.3626347
201,6.3130817
202,8.059285
203,4.83106
204,3.778251
205,9.399418
206,2.2865756
207,3.4242725
208,2.7577467
209,8.961826
210,8.724419
211,3.272093
212,6.9912252
213,5.004483
214,2.7608202
215,4.678167
216,2.2629066
217,2.8918202
218,5.2436137
219,7.158984
220,6.290046
221,5.0574565
222,3.2641423
223,5.219981
224,3.2334404
225,5.547023
226,2.6223392
227,1.7581186
228,5.415093
229,5.2692766
230,4.193386
231,5.9389277
232,4.3111134
233,6.364795
234,5.600011
235,5.5700808
236,6.6431317
237,8.05031
238,3.7088227
239,3.7171142
240,5.4277377
241,2.266859
242,3.1715107
243,4.474971
244,3.7087574
245,2.2404804
246,2.9541137
247,7.4664845
248,4.254343
249,5.85456
250,6.006932
251,5.0043335
252,2.1551495
253,4.648597
254,4.274543
255,4.7075644
256,5.3751087
257,2.41263
258,8.208005
259,9.395047
260,4.4155054
261,6.4416013
262,3.799445
263,3.4221692
264,5.07519
265,5.4605646
266,5.2498765
267,4.853322
268,2.5813437
269,4.2149906
270,3.300767
271,4.2662787
272,3.2141206
273,5.0546904
274,5.7570186
275,7.6090345
276,7.5183325
277,6.208948
278,6.699353
279,9.012509
280,5.0304265
281,2.9192438
282,6.550742
283,3.8193157
284,3.4416523
285,7.193944
286,5.6912146
287,4.619714
288,7.6705894
289,2.5812097
290,6.710156
291,3.990414
292,8.088972
293,7.6682844
294,6.7702456
295,5.1720824
296,5.610033
297,3.6502366
298,8.5639515
299,7.9461155
300,2.5029807
301,3.3867097
302,1.150042
303,6.463737
304,5.9287844
305,1.9693003
306,5.857949
307,3.7067206
308,3.3767552
309,8.224608
310,2.1976004
311,7.046978
312,6.7235785
313,5.547519
314,4.4478736
315,6.7266717
316,3.883613
317,6.7750154
318,4.779149
319,7.539386
320,2.341657
321,1.2211349
322,3.1047492
323,3.1234338
324,4.411463
325,5.9015584
326,3.1265016
327,3.78613
328,6.043411
329,8.797216
330,2.180842
331,9.108666
332,4.168524
333,1.4357812
334,3.2334876
335,3.0056028
336,2.804476
337,1.8251767
338,2.6425471
339,3.6184793
340,9.129316
341,4.474803
342,3.8778377
343,2.2168665
344,2.826994
345,3.9634266
346,6.41368
347,4.4023046
348,5.19308
349,7.0384216
350,8.427427
351,3.0487845
352,6.0329394
353,8.7783375
354,7.289254
355,3.0730896
356,5.8695493
357,3.5307357
358,2.0089693
359,3.5748012
360,2.8446007
361,6.3262825
362,2.6999605
363,8.61163
364,8.489732
365,3.2499444
366,5.299787
367,3.5837004
368,5.9389086
369,7.249019
370,1.7341974
371,7.9064007
372,2.7463713
373,3.049697
374,6.6867986
375,2.945918
376,4.4217157
377,7.0379195
378,4.987132
379,3.5543284
380,6.391501
381,6.5026946
382,2.6390572
383,4.4445524
384,6.777985
385,1.9606014
386,6.8794007
387,3.2433808
388,5.026797
389,3.750648
390,2.4996758
391,2.754691
392,5.274333
393,7.257927
394,6.3608994
395,9.162718
396,5.535533
397,5.4825974
398,9.31477
399,4.4037538
400,4.7464485
401,4.0232944
402,4.103878
403,2.5005782
